image,official_id,test_id,category_id,difficulty,prompt,body
,S.R.2015.01.00.3.1,,,1,what is the value of \(x\)?,"If \( \displaystyle { x-1 \over 3} = k\), and \(k=3\), what is the value of \(x\)?"
,S.R.2015.01.00.3.2,,,1,what is the sum \((7 + 3i) + (\text{&ndash;}8 + 9i)\)?,"For \(i = \sqrt{\text{&ndash;}1}\), what is the sum \((7 + 3i) + (\text{&ndash;}8 + 9i)\)?"
,S.R.2015.01.00.3.3,,,1,Which of the following represents the total number of messages sent by Armand and Tyrone on Saturday afternoon?,"On Saturday afternoon, Armand sent \(m\) text messages each hour for 5 hours, and Tyrone sent \(p\) text messages each hour for 4 hours. Which of the following represents the total number of messages sent by Armand and Tyrone on Saturday afternoon?"
,S.R.2015.01.00.3.4,,,1,What is the meaning of the value \(108\) in this equation?,"Kathy is a repair technician for a phone company. Each week, she receives a batch of phones that need repairs. The number of phones that she has left to fix at the end of each day can be estimated with the equation \(P = 108 - 23d\), where \(P\) is the number of phones left and \(d\) is the number of days she has worked that week. What is the meaning of the value \(108\) in this equation?"
,S.R.2015.01.00.3.5,,,1,Which of the following is equivalent to the expression above?,\[(x^2y - 3y^2 + 5xy^2) - (\text{&ndash;}x^2y + 3xy^2 - 3y^2)\] Which of the following is equivalent to the expression above?
,S.R.2015.01.00.3.6,,,3,"Based on the model, what is the estimated increase, in inches, of a boy's height each year?","\[h = 3a + 28.6\] A pediatrician uses the model above to estimate the height \(h\) of a boy, in inches, in terms of the boy's age \(a\) in years, between the ages of 2 and 5. Based on the model, what is the estimated increase, in inches, of a boy's height each year?"
,S.R.2015.01.00.3.7,,,3,"Which of the following gives \(P\) in terms of \(m\), \(r\), and \(N\) ?","\[m = { {\displaystyle {r \over 1,200} (1+ {r \over 1,200})^N} \over (1+ \displaystyle {r \over 1,200})^N -1}\] The formula above gives the monthly payment \(m\) needed to pay off a loan of \(P\) dollars at \(r\) percent annual interest over \(N\) months. Which of the following gives \(P\) in terms of \(m\), \(r\), and \(N\) ?"
,S.R.2015.01.00.3.8,,,3,what is the value of \( \displaystyle { 4b \over a }\),"If \( \displaystyle { a \over b } = 2\), what is the value of \( \displaystyle { 4b \over a }\)"
,S.R.2015.01.00.3.9,,,3,"What is the solution \(x,y\) to the sytsem of equations above?","\[3x + 4y = -23 \] \[2y - x = -19\] What is the solution \(x,y\) to the sytsem of equations above?"
,S.R.2015.01.00.3.10,,,3,What is the value of \( g(\text{&ndash;}4) \) ?,"\[g(x) = ax^2 + 24\] For the function g defined above, \(a\) is a constant and \(g(4) = 8 \). What is the value of \( g(\text{&ndash;}4) \) ?"
,S.R.2015.01.00.3.11,,,5,What was the price per pound of beef when it was equal to the price per pound of chicken?,"\[b = 2.35 + 0.25x \] \[c = 1.75 + 0.40x \] In the equations above, \(b\) and (\c\) represent the price per pound, in dollars, or beef and chicken, respectively, \(x\) weeks after July 1 during last summer. What was the price per pound of beef when it was equal to the price per pound of chicken?"
,S.R.2015.01.00.3.12,,,5,Which of the following points lies on the line?,A line in the \(xy\)-plane passes through the origin and has a slope of \( \displaystyle {1 \over 7} \). Which of the following points lies on the line?
,S.R.2015.01.00.3.13,,,5,which of the following is equivalent to \( \displaystyle { 1 \over {{ \displaystyle 1 \over {x + 2} } + { \displaystyle 1 \over {x + 3} }}\)?,"If \(x>3\), which of the following is equivalent to \( \displaystyle { 1 \over {{ \displaystyle 1 \over {x + 2} } + { \displaystyle 1 \over {x + 3} }}\)?"
,S.R.2015.01.00.3.14,,,5,what is the value of \( \displaystyle { 8^x \over 2^y}\)?,"If \(3x -y = 12\), what is the value of \( \displaystyle { 8^x \over 2^y}\)?"
,S.R.2015.01.00.3.15,,,5,what are the two possible values for \(c\) ?,"If \(ax + 2)(bx+7) = 15x^2 + cx + 14\) for all values of \(x\), and \(a + b=8\), what are the two possible values for \(c\) ?"
,S.R.2015.01.00.3.16,,,1,what is the value of \(t\) ?,"If \(t>0\) and \(t^2-4=0\), what is the value of \(t\) ?"
https://robohash.org/asdfasd,S.R.2015.01.00.3.17,,,1,What is the value of x ?,"A summer camp counselor wants to find a length, \(x\), in feet, across a lake as represented by \(AB\), \(EB\), \(BD\), and \(CD\) on the sketch were determined to be \(1800\) feet, \(1400\) feet, \(700\) feet, and \(800\) feet, respectively. Segments \(AC\) and \(DE\) intersect at \(B\), and \(\angleAEB\) and \(\angleCDB\) have the same measure. What is the value of x ?"
,S.R.2015.01.00.3.18,,,3,what is the value of \(x\) ?,"\[x+y=\text{&ndash;}9 \] \[x + 2y = \text{&ndash;}25 \] According to the system of equations above, what is the value of \(x\) ?"
,S.R.2015.01.00.3.19,,,5,What is \(cos(90^\text{o} - x) ?,"In a right triangle, one angle measures \(x^\text{o}\), where \(sin x^\text{o} = \displaystyle { 4 \over 5}\). What is \(cos(90^\text{o} - x) ?"
,S.R.2015.01.00.3.20,,,5,what is the value of \(x\) ?,"If \(a = 5\sqrt{2}\) and \(2a = \sqrt{2x}\), what is the value of \(x\) ?"
