id,body,prompt,official_id,image,difficulty,test_id,category_id,created_at,updated_at,style_id
1,"If \( \displaystyle { x-1 \over 3} = k\), and \(k=3\), what is the value of \(x\)?",what is the value of \(x\)?,S.R.2015.01.00.3.1,"",1,1,1,2021-02-03 22:57:57 UTC,2021-02-11 01:12:25 UTC,2
2,"For \(i = \sqrt{\unicode{x2013}1}\), what is the sum \((7 + 3i) + (\unicode{x2013}8 + 9i)\)?",what is the sum \((7 + 3i) + (\unicode{x2013}8 + 9i)\)?,S.R.2015.01.00.3.2,"",1,1,1,2021-02-03 22:57:57 UTC,2021-02-11 01:21:09 UTC,2
3,"On Saturday afternoon, Armand sent \(m\) text messages each hour for 5 hours, and Tyrone sent \(p\) text messages each hour for 4 hours. Which of the following represents the total number of messages sent by Armand and Tyrone on Saturday afternoon?",Which of the following represents the total number of messages sent by Armand and Tyrone on Saturday afternoon?,S.R.2015.01.00.3.3,"",1,1,1,2021-02-03 22:57:57 UTC,2021-02-11 01:22:10 UTC,2
4,"Kathy is a repair technician for a phone company. Each week, she receives a batch of phones that need repairs. The number of phones that she has left to fix at the end of each day can be estimated with the equation \(P = 108 - 23d\), where \(P\) is the number of phones left and \(d\) is the number of days she has worked that week. What is the meaning of the value \(108\) in this equation?",What is the meaning of the value \(108\) in this equation?,S.R.2015.01.00.3.4,"",1,1,1,2021-02-03 22:57:57 UTC,2021-02-11 01:23:40 UTC,2
5,\[(x^2y - 3y^2 + 5xy^2) - (\unicode{x2013}x^2y + 3xy^2 - 3y^2)\] Which of the following is equivalent to the expression above?,Which of the following is equivalent to the expression above?,S.R.2015.01.00.3.5,"",1,1,1,2021-02-03 22:57:57 UTC,2021-02-11 01:24:46 UTC,2
6,"\[h = 3a + 28.6\] A pediatrician uses the model above to estimate the height \(h\) of a boy, in inches, in terms of the boy's age \(a\) in years, between the ages of 2 and 5. Based on the model, what is the estimated increase, in inches, of a boy's height each year?","Based on the model, what is the estimated increase, in inches, of a boy's height each year?",S.R.2015.01.00.3.6,"",3,1,1,2021-02-03 22:57:57 UTC,2021-02-11 01:25:44 UTC,2
7,"\[m = {  {\displaystyle \Bigl ( {r \over 1,200} \Bigr ) \Bigl (1+ {r \over 1,200} \Bigr )^N} \over \Bigl (1+ \displaystyle {r \over 1,200} \Bigr )^N -1} P \] The formula above gives the monthly payment \(m\) needed to pay off a loan of \(P\) dollars at \(r\) percent annual interest over \(N\) months. Which of the following gives \(P\) in terms of \(m\), \(r\), and \(N\) ?","Which of the following gives \(P\) in terms of \(m\), \(r\), and \(N\) ?",S.R.2015.01.00.3.7,"",3,1,1,2021-02-03 22:57:57 UTC,2021-02-11 01:27:30 UTC,2
8,"If \( \displaystyle { a \over b } = 2\), what is the value of \( \displaystyle { 4b \over a }\) ?",what is the value of \( \displaystyle { 4b \over a }\) ?,S.R.2015.01.00.3.8,"",3,1,1,2021-02-03 22:57:57 UTC,2021-02-11 01:28:28 UTC,2
9,"\[3x + 4y = \unicode{x2013}23 \] \[2y - x = \unicode{x2013}19\] What is the solution \(x,y\) to the sytsem of equations above?","What is the solution \(x,y\) to the sytsem of equations above?",S.R.2015.01.00.3.9,"",3,1,1,2021-02-03 22:57:57 UTC,2021-02-11 01:28:39 UTC,2
10,"\[g(x) = ax^2 + 24\] For the function g defined above, \(a\) is a constant and \(g(4) = 8 \). What is the value of \( g(\unicode{x2013}4) \) ?",What is the value of \( g(\unicode{x2013}4) \) ?,S.R.2015.01.00.3.10,"",3,1,1,2021-02-03 22:57:57 UTC,2021-02-11 01:29:31 UTC,2
