id,value,question_id,created_at,updated_at,correct
1,\( 2 \),1,2021-02-07 16:12:19 UTC,2021-02-11 01:19:19 UTC,false
2,\( 4 \),1,2021-02-07 16:12:55 UTC,2021-02-11 01:19:46 UTC,false
3,\( 9 \),1,2021-02-07 16:13:03 UTC,2021-02-11 01:19:52 UTC,false
4,\( 10 \),1,2021-02-07 16:13:08 UTC,2021-02-11 01:19:56 UTC,true
5, \( \unicode{x2013}1 + 12i \),2,2021-02-07 16:15:26 UTC,2021-02-11 01:21:21 UTC,true
6, \( \unicode{x2013}1 - 6i \),2,2021-02-07 16:15:43 UTC,2021-02-11 01:21:26 UTC,false
7, \( 15 + 12i \),2,2021-02-07 16:15:54 UTC,2021-02-11 01:21:30 UTC,false
8, \( 15 - 6i \),2,2021-02-07 16:16:09 UTC,2021-02-11 01:21:35 UTC,false
9,\( 9mp \),3,2021-02-07 16:17:06 UTC,2021-02-11 01:22:22 UTC,false
10,\( 20mp \),3,2021-02-07 16:17:14 UTC,2021-02-11 01:22:28 UTC,false
11,\( 5m + 4p \),3,2021-02-07 16:17:24 UTC,2021-02-11 01:22:18 UTC,true
12,\( 4m + 5p \),3,2021-02-07 16:17:36 UTC,2021-02-11 01:22:37 UTC,false
13,Kathy will complete the repairs within \( 108 \) days.,4,2021-02-07 16:19:21 UTC,2021-02-11 01:23:59 UTC,false
14,Kathy starts each week with \( 108 \) phones to fix.,4,2021-02-07 16:19:38 UTC,2021-02-11 01:23:54 UTC,true
15,Kathy repairs phones at a rate of \( 108 \) per hour.,4,2021-02-07 16:20:05 UTC,2021-02-11 01:24:08 UTC,false
16,Kathy repairs phones at a rate of \( 108 \) per day.,4,2021-02-07 16:20:18 UTC,2021-02-11 01:24:12 UTC,false
17,\( 4x^2y^2 \),5,2021-02-07 16:21:45 UTC,2021-02-11 01:25:01 UTC,false
18,\( 8xy^2 - 6y^2 \),5,2021-02-07 16:22:07 UTC,2021-02-11 01:25:06 UTC,false
19,\( 2x^2y + 2xy^2 \),5,2021-02-07 16:22:35 UTC,2021-02-11 01:24:56 UTC,true
20,\( 2x^2y + 8xy^2 - 6y^2 \),5,2021-02-07 16:22:59 UTC,2021-02-11 01:25:18 UTC,false
21,\( 3 \),6,2021-02-07 16:25:11 UTC,2021-02-11 01:26:19 UTC,true
22,\( 5.7 \),6,2021-02-07 16:25:21 UTC,2021-02-11 01:26:23 UTC,false
23,\( 9.5 \),6,2021-02-07 16:25:29 UTC,2021-02-11 01:26:29 UTC,false
24,\( 14.3 \),6,2021-02-07 16:25:36 UTC,2021-02-11 01:26:33 UTC,false
25,"\(P = {  {\displaystyle \Bigl ( {r \over 1,200} \Bigr ) \Bigl (1+ {r \over 1,200} \Bigr )^N} \over  \displaystyle \Bigl (1+ \displaystyle {r \over 1,200} \Bigr )^N -1} m \)",7,2021-02-07 16:26:24 UTC,2021-02-11 01:27:36 UTC,false
26,"\( P = {  {\displaystyle \Bigl (1+ \displaystyle {r \over 1,200} \Bigr )^N -1} \over \displaystyle \Bigl ( {r \over 1,200} \Bigr ) \Bigl (1+ {r \over 1,200} \Bigr )^N} m \)",7,2021-02-07 16:27:53 UTC,2021-02-11 01:27:03 UTC,true
